system:index,HAND,TWI,builtup,dist_water,elevation,flow_accum,impervious,slope,.geo
2125,2.3042226,9.019583054243608,0.06670903,1555.6349186104046,5.2042227,0.01700428,0.31225552486113717,1.3755546,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2498960964375,12.982770362509552]}"
2126,3.8208585,8.666783802807636,0.2967635,1627.8820596099706,7.0103345,0.008485804,0.36398532209357265,0.9538151,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25081811083083,12.982773020424904]}"
2127,3.042198,8.732262337985091,0.38599774,1702.9386365926403,6.842198,0.009068185,0.9141024883511241,0.94513756,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25174012542915,12.982775675071903]}"
2128,1.0999084,10.517442977990187,0.28568912,1726.2676501632068,4.8999085,0.5019788,0.7790585102980871,0.98463845,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2526621402322,12.98277832645054]}"
2129,0.6828129,14.238674797540956,0.22599034,1627.8820596099706,4.482813,1.77075,0.572229805911198,0.65048337,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25358415523975,12.982780974560814]}"
2130,3.2289364,9.465250986228403,0.28075597,1529.7058540778355,7.0289364,0.040172476,0.4498132828755086,1.292988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25450617045152,12.982783619402726]}"
2131,4.8454,9.655330071129178,0.29124618,1431.7821063276353,8.6454,0.018234257,0.9294517200913868,0.6596197,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25542818586727,12.982786260976264]}"
2132,4.127809,10.519043659745776,0.34340626,1334.1664064126335,8.90033,0.010527868,0.9816463450340074,0.20757195,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25635020148675,12.982788899281433]}"
2133,3.059865,9.82302321441405,0.31027374,1236.9316876852981,9.030364,0.008333574,0.504035072609633,0.4374519,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25727221730972,12.982791534318222]}"
2134,1.606317,9.612833936590178,0.4952379,1140.175425099138,7.8063173,0.015276086,0.7559473654695006,0.6662689,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2581942333359,12.982794166086636]}"
2135,1.0884686,12.633243118276056,0.33359972,1044.030650891055,7.288469,0.1620993,0.9428295606507164,0.3214427,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25911624956505,12.982796794586667]}"
2136,1.7349958,10.14098081436077,0.42615995,948.6832980505138,7.934996,0.008823925,0.9750107445085161,0.22148539,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.26003826599693,12.98279941981831]}"
2137,1.750798,11.066298992484324,0.4894858,854.4003745317531,7.9507985,0.022197252,1.0,0.18584041,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.26096028263127,12.982802041781563]}"
2138,1.9554793,11.71620135483435,0.45407096,761.5773105863909,8.155479,0.035950817,0.9916702439393223,0.15153661,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.26188229946783,12.982804660476427]}"
2139,2.99725,10.75983512412988,0.40071264,670.820393249937,8.362401,0.021395704,0.7084013029985835,0.2753033,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.26280431650635,12.982807275902891]}"
2140,6.8332334,10.056296900589121,0.40886518,583.0951894845301,8.89105,0.015659997,0.7462936132575139,0.41828254,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.26372633374658,12.982809888060958]}"
2141,9.339229,10.29430205152789,0.45675695,500.0,9.339229,0.013981638,0.8530070715309628,0.35035866,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.26464835118827,12.982812496950622]}"
2142,9.679831,9.290355616887664,0.4568902,400.0,9.679831,0.009968941,0.8163201069292266,0.78303087,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.26557036883116,12.982815102571879]}"
2143,8.337803,7.986000134915129,0.43888375,300.0,8.337803,0.008333573,0.8040593521146385,1.9676969,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.26649238667503,12.982817704924727]}"
