system:index,HAND,TWI,builtup,dist_water,elevation,flow_accum,impervious,slope,lon,lat,log_flow_accum,flood_haz
0,0.9642842,9.783746100116934,0.2840404,943.3981132056604,2.4642842,0.016511766,0.8591400037831971,0.56335074,80.20942473725452,12.951907809010068,0.0163769290315714,2.0
1,0.017777482,15.105460361067582,0.27439973,806.2257748298549,1.6118517,1.2431669,0.8055971161531531,0.09850215,80.2075780959766,12.95280639748638,0.8078886620431334,2.0
2,0.36641625,11.266641263189795,0.2881517,894.4271909999159,1.9035201,0.5971276,0.826052760004667,0.3577439,80.20849999083033,12.952809199071153,0.4682067658532031,2.0
3,1.2514261,9.641266043967164,0.3191236,984.8857801796104,2.7888658,0.008334561,0.7715569368321243,0.39957896,80.20942188590053,12.952811997395491,0.008300020334615,5.0
4,1.7790658,10.182856952769509,0.4125163,1077.0329614269008,3.1362424,0.008334561,1.0,0.23922157,80.21034378118694,12.952814792459398,0.008300020334615,1.0
5,1.470101,9.891051123100477,0.29254398,1166.1903789690602,2.6985378,0.009982472,1.0,0.3415675,80.21126567668932,12.952817584262863,0.0099329762471322,1.0
6,0.7288495,10.26912878354373,0.07819097,1252.9964086141667,2.0750706,0.009535859,0.232810261503437,0.24710204,80.2121875724074,12.952820372805885,0.0094906796851994,1.0
7,1.4436653,9.764674784399975,0.35783005,640.3124237432849,3.0436652,0.019717474,0.8892608064647319,0.55510646,80.20480954452468,12.953702160479828,0.0195256026538867,5.0
8,0.5016121,10.157479231492973,0.2939225,707.1067811865476,2.101612,0.02646465,0.4713534782518516,0.47373948,80.20573144205186,12.95370497204872,0.0261205194751998,2.0
9,0.23744284,11.50930841460426,0.19674425,781.0249675906654,1.8374429,0.040246837,0.418291518583709,0.17370737,80.20665333979626,12.953707780356952,0.0394580282610542,2.0
10,0.16473202,11.975114802268743,0.24737366,860.2325267042627,1.764732,0.21931791,0.9730506431348548,0.18001199,80.20757523775764,12.953710585404526,0.1982916122320468,2.0
11,0.14655873,14.27340866334284,0.3319733,943.3981132056604,1.7465588,1.5546384,0.688173440463665,0.30523127,80.20849713593573,12.953713387191437,0.9379106872210724,2.0
12,0.9440179,9.831691683736317,0.3840509,1029.5630140987,2.544018,0.013673475,0.9208480943650352,0.41988748,80.20941903433031,12.953716185717678,0.0135808365451736,5.0
13,1.7144539,9.700713942155616,0.41852483,1118.033988749895,3.1098943,0.0083345305,1.0,0.33804837,80.21034093294111,12.953718980983249,0.0082999900867175,4.0
14,1.4108801,9.975051448364749,0.3556441,1208.3045973594571,2.51088,0.02063934,1.0,0.47267887,80.21126283176785,12.953721772988144,0.0204292348582186,1.0
15,0.6340369,10.688127946638945,0.14408047,1300.0,1.7340369,0.017408965,0.6167936751078125,0.27216783,80.21218473081035,12.95372456173236,0.0172591650445282,1.0
16,0.5680597,11.620729225229937,0.0002548309,1389.2443989449805,1.6680597,0.045627024,0.0,0.13942285,80.21310663006828,12.953727347215896,0.0446167284414772,2.0
17,0.7240005,10.204962635216258,0.0,1476.48230602334,1.8240005,0.016886452,0.0,0.25981393,80.21402852954142,12.953730129438746,0.0167454608822673,2.0
18,2.0072613,9.7593122300978,0.38281754,670.820393249937,3.6443682,0.008334501,0.7904689325852524,0.34104407,80.20388477548083,12.954603532694284,0.0082999608305535,5.0
19,1.1050321,10.19424259908832,0.42441395,721.1102550927978,2.826597,0.020429403,0.9326992257168384,0.3940387,80.20480667611514,12.954606347726909,0.0202235220408915,5.0
20,0.77836895,10.718412282575894,0.355055,781.0249675906654,2.5376663,0.027387924,0.8762793437112449,0.2790936,80.20572857696692,12.954609159498643,0.0270195850399628,5.0
21,0.45966464,10.036371472259503,0.29240316,848.528137423857,2.219973,0.008711456,0.5833673343723782,0.23689526,80.20665047803595,12.954611968009486,0.0086737302065861,2.0
22,0.5054966,10.564746624066988,0.19200481,921.9544457292888,2.1054966,0.082622044,0.8658955184122329,0.17778923,80.20757237932195,12.954614773259433,0.0793859172646976,5.0
23,0.46383312,12.680085533191669,0.14963041,1000.0,2.0742836,0.8856481,0.4235646315034314,0.2520091,80.20849428082468,12.95461757524848,0.6342715814361972,2.0
24,0.6256016,12.11250517717662,0.22343884,1081.6653826391969,2.2800465,0.7098462,0.6444236291504528,0.36196575,80.20941618254388,12.954620373976624,0.5364034249491196,5.0
25,1.549632,9.78732094857518,0.30417404,1166.1903789690602,2.9793372,0.0083345,0.9699649468294512,0.35746616,80.2103380844793,12.95462316944386,0.0082999598388191,5.0
26,1.5087229,10.073350000129004,0.3440313,1252.9964086141667,2.608723,0.01791096,0.9750074495110288,0.39325833,80.2112599866307,12.954625961650189,0.0177524486841301,1.0
27,0.8270028,10.848423342035211,0.27233502,1341.640786499874,1.9270029,0.041137252,0.9395716988406044,0.36503723,80.21218188899782,12.9546287505956,0.0403136272435051,1.0
28,0.56347215,11.708728795923196,0.005198872,1431.7821063276351,1.6634722,0.054571524,0.0561170670888633,0.17734292,80.2131037915804,12.954631536280097,0.0531345460428714,2.0
29,0.4452786,11.932689570455986,5.5931005e-06,1523.1546211727818,1.5452787,0.078552864,0.0,0.16852394,80.2140256943782,12.954634318703674,0.0756202018720582,2.0
30,0.1857859,15.563225108541612,0.0,1612.4515496597098,1.2857859,14.618782,0.0,0.16116911,80.21494759739096,12.954637097866325,2.748474164418554,2.0
31,5.1087217,7.802342244994655,0.42893022,100.0,5.1087217,0.011317532,1.0,2.1712441,80.26196493017721,12.954774511094463,0.011253967877766,
32,1.9946263,10.00770133017844,0.3877518,728.0109889280518,3.8946264,0.0111219,0.9326963027590712,0.3038248,80.20295999978751,12.95550490117821,0.0110605064593277,5.0
33,1.5509089,10.426649844609123,0.43329895,761.5773105863909,3.3737442,0.020097746,0.9838877891808157,0.31843826,80.20388190352895,12.955507719675037,0.0198984521165996,5.0
34,0.98279315,10.8193854761396,0.28388172,806.2257748298549,2.8554344,0.031460423,0.5911906654195671,0.30659485,80.2048038074881,12.95551053491074,0.0309756843975432,5.0
35,0.5287208,11.276744666978374,0.29772064,860.2325267042627,2.4287207,0.056360833,0.8423117365335888,0.2852528,80.20572571166475,12.95551334688532,0.0548298248352984,5.0
36,0.25746602,10.123811685903584,0.32494113,921.9544457292888,2.157466,0.009514589,0.853301611859884,0.2218966,80.20664761605866,12.95551615559877,0.0094696103750969,5.0
37,0.5782697,10.898638721353562,0.16875152,989.9494936611666,2.3028204,0.05379892,0.8133143369343048,0.12861949,80.20756952066952,12.95551896105109,0.0524016539301204,5.0
38,0.27265888,13.498507041639067,0.050803192,1063.014581273465,2.004975,0.6867044,0.1572026924823479,0.21784456,80.20849142549713,12.955521763242276,0.5227765659225273,5.0
39,0.12064169,14.903180522885366,0.04330309,1140.175425099138,1.864957,1.2144673,0.3708704014878893,0.24191986,80.20941333054122,12.955524562172323,0.7950118779591553,5.0
40,0.9080012,11.37699184557145,0.17327076,1220.6555615733705,2.5193775,0.6955741,0.7059475157757484,0.51673573,80.21033523580152,12.95552735784123,0.5280213855507145,5.0
41,1.733131,9.72899100697499,0.30917197,1303.8404810405298,3.020714,0.008334459,0.950378893376898,0.39155346,80.21125714127781,12.955530150248991,0.0082999191777083,4.0
