lon,lat,slum,road_density,dist_industry
80.20942473725452,12.951907809010068,0,9.0,3735.860951552702
80.2075780959766,12.95280639748638,0,8.0,3512.5538764198723
80.20849999083033,12.952809199071153,0,6.0,3599.821311036014
80.20942188590053,12.952811997395491,0,8.0,3687.7353766268525
80.21034378118694,12.952814792459398,0,6.0,3776.2509112413286
80.21126567668932,12.952817584262863,0,16.0,3865.3265943893052
80.2121875724074,12.952820372805885,0,19.0,3954.924578032096
80.20480954452468,12.953702160479828,0,10.0,3202.925800505153
80.20573144205186,12.95370497204872,0,6.0,3289.287524704381
80.20665333979626,12.953707780356952,0,3.0,3376.4021023580685
80.20757523775764,12.953710585404526,0,8.0,3464.2127379015496
80.20849713593573,12.953713387191437,0,6.0,3552.667818706083
80.20941903433031,12.953716185717678,0,8.0,3641.720385574298
80.21034093294111,12.953718980983249,1,5.0,3731.3276596061287
80.21126283176785,12.953721772988144,1,7.0,3821.450619852431
80.21218473081035,12.95372456173236,0,21.0,3912.05362650127
80.21310663006828,12.953727347215896,0,0.0,4002.5311121902187
80.21402852954142,12.953730129438746,0,0.0,3970.4817149265095
80.20388477548083,12.954603532694284,0,3.0,3066.0707926582745
80.20480667611514,12.954606347726909,0,2.5,3153.0094897145163
80.20572857696692,12.954609159498643,0,6.0,3240.7017108727896
80.20665047803595,12.954611968009486,0,4.0,3329.087910448509
80.20757237932195,12.954614773259433,0,9.0,3418.114253813762
80.20849428082468,12.95461757524848,0,4.0,3507.7320007037188
80.20941618254388,12.954620373976624,0,6.0,3597.8969586959292
80.2103380844793,12.95462316944386,1,13.0,3688.547669058367
80.2112599866307,12.954625961650189,0,12.0,3779.0137352116462
80.21218188899782,12.9546287505956,0,24.0,3869.949058441212
80.2131037915804,12.954631536280097,0,8.0,3961.3213223541807
80.2140256943782,12.954634318703674,0,0.0,3916.6321479138055
80.21494759739096,12.954637097866325,0,0.0,3832.162612122976
80.26196493017721,12.954774511094463,1,8.0,2272.655641931794
80.26288684402067,12.954777120684286,0,3.0,2333.0340872641277
80.20295999978751,12.95550490117821,0,5.0,2929.6495571385512
80.20388190352895,12.955507719675037,0,6.0,3017.204876087318
80.2048038074881,12.95551053491074,0,4.0,3105.5118742177965
80.20572571166475,12.95551334688532,0,3.0,3194.50821528717
80.20664761605866,12.95551615559877,0,4.0,3284.137858583368
