system:index,LST,NDBI,NDVI,albedo,bare,bheight,builtup,dist_water,.geo
0,45.22581111559974,-0.026831632,0.30893308,0.1563512508243049,0.0,7.0466995,0.2840404,943.3981132056604,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.20942473725452,12.951907809010068]}"
1,43.891706639299365,-0.015534098,0.26158273,0.17864677797737147,0.01999999999996363,7.216643,0.27439973,806.2257748298549,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2075780959766,12.952806397486379]}"
2,44.28435168679964,-0.026275441,0.30469948,0.1668667902805194,0.009999999999981815,7.534555,0.2881517,894.4271909999159,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.20849999083033,12.952809199071153]}"
3,45.152733847999755,-0.038270157,0.30185038,0.15956765082432373,0.010000000000072765,7.391387,0.3191236,984.8857801796104,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.20942188590053,12.952811997395493]}"
4,45.39182434700033,0.012680411,0.24814905,0.16341540751722664,0.0,6.9430885,0.4125163,1077.0329614269008,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.21034378118694,12.952814792459398]}"
5,44.270132723600575,0.013173267,0.21938615,0.14637312037402453,0.0,6.1467333,0.29254398,1166.1903789690602,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.21126567668932,12.952817584262863]}"
6,41.45282973860089,-0.21034047,0.5804327,0.16347853937003887,0.0,3.1857653,0.07819097,1252.9964086141667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2121875724074,12.952820372805885]}"
7,43.03790233340025,0.013433866,0.2772206,0.17810040765257174,0.0,7.1501217,0.35783005,640.3124237432849,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.20480954452468,12.953702160479827]}"
8,43.33075828700037,-0.014726058,0.30192918,0.16928420349408566,0.03999999999992725,6.9494944,0.2939225,707.1067811865476,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.20573144205186,12.953704972048719]}"
9,43.49769438380018,-0.044546705,0.31287876,0.15904592304377005,0.009999999999981815,6.926272,0.19674425,781.0249675906654,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.20665333979626,12.953707780356952]}"
10,43.5528783167002,-0.016294107,0.25865665,0.18107047586121494,0.01999999999978173,7.2429743,0.24737366,860.2325267042627,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.20757523775764,12.953710585404526]}"
11,43.89649186729967,-0.034735322,0.3175707,0.16248120030756558,0.0,7.5913153,0.3319733,943.3981132056604,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.20849713593573,12.953713387191435]}"
